item_name,product_code,retail_selling_price,units,buying_price,wholesale_selling_price,minimum_order_quantity,discount
Spark Plugs Iridium Tough VKH20,SAB330DE2670,1900,5,1615,1776.5,1,0
Spark Plugs Iridium Tough VK20Y,Subaru,2250,5,1912.5,2103.75,1,0
Spark Plugs Iridium Tough VKH20Y,SAB330DE4540,1334,5,1133.9,1247.29,1,0
Spark Plugs Iridium Tough VFKH20,22401AA700,2308.4,5,1962.14,2158.354,1,0
Spark Plugs Iridium Power IK22,Subaru,1450,5,1232.5,1355.75,1,0
CG Oil Filter,15601-97202,450,5,382.5,420.75,1,0
Spark Plugs Iridium Tough VK20,09482-00508,1600,5,1360,1496,1,0
Spark Plugs Iridium Tough VK16,99000-79K73-K16,1800,5,1530,1683,1,0
Spark Plugs Iridium Tough VKH20,-,1900,5,1615,1776.5,1,0
CG Oil Filter,8-98165071-0,600,5,510,561,1,0
CG Oil Filter,8-94114584-0,603.2,5,512.72,563.992,1,0
CG Diesel Filter,8-98159693-0,1798,5,1528.3,1681.13,1,0
CG Air Filter,8-98027480-0,1200,5,1020,1122,1,0
CG Oil Filter,26300-35503,533.6,5,453.56,498.916,1,0
Spark Plugs Iridium Power IK24,Volkswagen,1624,5,1380.4,1518.44,1,0
Spark Plugs Iridium Power IK24,Audi,1624,5,1380.4,1518.44,1,0
CG Oil Filter,2711800009,1229.6,5,1045.16,1149.676,1,0
CG Oil Filter,1191800009,800.4,5,680.34,748.374,1,0
CG Oil Filter,1121800009,603.2,5,512.72,563.992,1,0
Spark Plugs Iridium Tough VXUH22,Mercedez,1800,5,1530,1683,1,0
Advics Brake Pad 0446535290,04465-YZZE1,"9,024",5,7670.4,8437.44,1,0
Advics Brake Pad 0446535260,04465-35260,"7,966",5,6771.1,7448.21,1,0
Advics Brake Pad 0446512490,04465-12490,"7,769",5,6603.65,7264.015,1,0
Advics Brake Pad 0446542060,04465-42060,"8,555",5,7271.75,7998.925,1,0
Advics Brake Pad,04465-12581,"7,612",5,6470.2,7117.22,1,0
Advics Brake Pad 0446533240,04465-33240,"6,994",5,5944.9,6539.39,1,0
Advics Brake Pad 0446565021,04465-65021,"8,182",5,6954.7,7650.17,1,0
Advics Brake Pad 0446548100,04465-48100,"12,113",5,10296.05,11325.655,1,0
Advics Brake Pad,04465-52190/52270,"11,000",5,9350,10285,1,0
Advics Brake Pad 0446560230,04465-60230,"12,813",5,10891.05,11980.155,1,0
Advics Brake Pad,04465-0K340/0K240/0K260/0K300/0K330,"11,845",5,10068.25,11075.075,1,0
Advics Brake Pad,04465-26420,"11,461",5,9741.85,10716.035,1,0
Advics Brake Pad,"04465-02160, 02170, 02210,02270,02330","9,032",5,7677.2,8444.92,1,0
Advics Brake Pad0446660290,04466-60290,"7,850",5,6672.5,7339.75,1,0
Advics Brake Pads 0446660120,04466-60120,"8,272",5,7031.2,7734.32,1,0
Advics Brake Pad REAR,04466-12130/12150,"7,813",5,6641.05,7305.155,1,0
Advics Brake Pad Rear,04466-05010/04466-05020/04466-28110,"5,451",5,4633.35,5096.685,1,0
"Cylinder Assy, Rear Disc Brake RR 4773034030",47750-34030,"23,667",5,20116.95,22128.645,1,0
"Cylinder Assy, Rear Disc Brake RR 4783060080",47850-60070,"18,253",5,15515.05,17066.555,1,0
"Cylinder Assy, Front Disc Brake FF 47730-60261",47750-60130/60261,"39,685",5,33732.25,37105.475,1,0
"Cylinder Assy, Front Disc Brake FF 4773060090",47750-60090,"51,041",5,43384.85,47723.335,1,0
"Cylinder Assy, Front Disc Brake FF 4773060120",47750-60120,"33,876",5,28794.6,31674.06,1,0
"Cylinder Assy, Front Disc Brake FF 47730-60280",47750-60280,"55,430",5,47115.5,51827.05,1,0
"Cylinder Assy, Rear Disc Brake RR 4775034030",47730-34030,"23,667",5,20116.95,22128.645,1,0
"Cylinder Assy, Rear Disc Brake RR 4785060070",47830-60080,"18,253",5,15515.05,17066.555,1,0
"Cylinder Assy, Front Disc Brake FF 47750-60261",4773060130/60261,"41,689",5,35435.65,38979.215,1,0
"Cylinder Assy, Front Disc Brake FF 4775060090",47730-60090,"50,222",5,42688.7,46957.57,1,0
"Cylinder Assy, Front Disc Brake FF 4775060120",477306-0120,"33,876",5,28794.6,31674.06,1,0
"Cylinder Assy, Front Disc Brake FF 47750-60280",47730-60280,"55,430",5,47115.5,51827.05,1,0
Advics Brake Shoe0449512100,04495-12100,"7,906",5,6720.1,7392.11,1,0
Advics Brake Pads AY040NS138,AY040-NS138,"10,287",5,8743.95,9618.345,1,0
Advics Brake Pads AY040NS095,AY040-NS085,"11,334",5,9633.9,10597.29,1,0
Advics Brake Pads AY040NS121,AY040-NS121,"9,389",5,7980.65,8778.715,1,0
Advics Brake Pad,1N26-33-28Z,"7,400",5,6290,6919,1,0
Brake Master Cyln4720126520,47201-26520,"22,236",5,18900.6,20790.66,1,0
Brake Master Cyln4720160720,47201-60720,"14,643",5,12446.55,13691.205,1,0
Brake Master Cylin 4720160832,47201-60831,"17,706",5,15050.1,16555.11,1,0
Brake Master Cyln472010K020,472010K020,"21,346",5,18144.1,19958.51,1,0
Advics Brake Pad 45022SCC000,45022-SCC-000,"9,937",5,8446.45,9291.095,1,0
Advics Brake Pad 45022SHJA50,45022-SHJ-A50,"11,267",5,9576.95,10534.645,1,0
Advics Brake Pad 43022SAAJ51,43022-SAA-J51,"8,294",5,7049.9,7754.89,1,0
Advics Brake Pad 43022S9A010,43022-S9A-010,"9,844",5,8367.4,9204.14,1,0
Clutch Master Cyln 3142026200,31420-26200,"7,444",5,6327.4,6960.14,1,0
Clutch Master Cyln 314200k013,31420-0K013,"6,785",5,5767.25,6343.975,1,0
Clutch Set DT-036 CTX-073,CTX-073/DT-036,"18,607",5,15815.95,17397.545,1,0
Clutch Set DT-094L CTX-084,CTX-084/DT-094L,"34,848",5,29620.8,32582.88,1,0
Clutch  Cover,31210-36029,"12,038",5,10232.3,11255.53,1,0
Clutch  Cover3121060171,31210-60171,"22,128",5,18808.8,20689.68,1,0
Advics Brake Pad,4605A530,"10,127",5,8607.95,9468.745,1,0
Clutch Disc 3125012361,31250-12361,"8,447",5,7179.95,7897.945,1,0
Clutch Disc 3125060431,31250-60431,"16,711",5,14204.35,15624.785,1,0
Clutch Disc 3125012393,31250-12393,"6,304",5,5358.4,5894.24,1,0
Clutch Disc 3125012310,31250-12570,"8,491",5,7217.35,7939.085,1,0
Clutch  Disc3125060130,31250-60130,"26,752",5,22739.2,25013.12,1,0
Advics Brake Pad,"D6Y1-33-28Z,5581068R10","11,330",5,9630.5,10593.55,1,0
Advics Brake Pads 26296AE002,26296AE002,"8,372",5,7116.2,7827.82,1,0
Advics Brake Pad 26296FE082,26296FE082,"12,839",5,10913.15,12004.465,1,0
Fan Clutch1621075060,16210-75060/0W010/75040,"25,862",5,21982.7,24180.97,1,0
Fan Clutch1621067030,16210-67030,"31,991",5,27192.35,29911.585,1,0
Fan Clutch1621050051,"16210-50050,50051","27,207",5,23125.95,25438.545,1,0
Fan Clutch1621017050,16210-17050,"22,236",5,18900.6,20790.66,1,0
Free Wheel Hub,8-97062-018-0,"22,929",5,19489.65,21438.615,1,0
